Naslov,Avtorji,Mentorji,Komentorji,Ključne besede,Leto,Jezik,Organizacija,Dolžina uvoda,Dolžina glavnega dela,Ogledi,Prenosi 
"Jezikovna politika v visokem šolstvu na Poljskem, v Sloveniji in Ukrajini","Sotnikova Štravs, Marija","Wtorkowska, Maria Zofia","Stabej, Marko",poljščina; slovenščina; ukrajinščina; slovanski jeziki; jezikovna politika; jezikovna ideologija; certifikacija; visoko šolstvo; Poljska; Slovenija; Ukrajina; doktorske disertacije,2019,Slovenski jezik,FF - Filozofska fakulteta,,,2673,254
"Antični nagrobni spomeniki na območju mesta Scupi in področju Kumanova: izdelki, proizvodni cikli in kupci","Basotova, Maja","Djurić, Bojan","Prochaska, Walter",arheologija; rimske province; Scupi; kamnolomi; nagrobniki; rimski spomeniki,2019,Slovenski jezik,FF - Filozofska fakulteta,,,1952,205
Uporaba trirazsežnostnega dokumentiranja za arheološko analizo stoječe vernakularne arhitekture,"Štuhec, Seta","Novaković, Predrag","Mlekuž Vrhovnik, Dimitrij",3D dokumentiranje; 3D digitalizacija; virtualna arheologija; vernakularna arhitektura; Kras,2019,Slovenski jezik,FF - Filozofska fakulteta,13,257,1282,200
Biofarmacevtsko in klinično vrednotenje generičnega mazila s kalcipotriolom in betametazonom,"Habjanič, Nina","Kerec Kos, Mojca","Kristan, Katja",luskavica; lokalno zdravljenje; generična mazila; kalcipotriol-betametazon mazilo; zdravilne učinkovine; sproščanje; permeabilnost; varnost; pomožne snovi; daivobet (zdravilo),2019,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1238,106
Razvoj novih N-fenilpirolamidov kot zaviralcev DNA-giraze in topoizomeraze IV,"Benedetto Tiz, Davide","Zidar, Nace","Kikelj, Danijel",antibakteijske spojine; DNA giraze; topoizomeraze IV; zaviralci DNA giraz; protibakterijske učinkovine; N-fenilpirolamidi,2019,Angleški jezik,FFA - Fakulteta za farmacijo,18,339,1075,93
"Načrtovanje, izdelava in vrednotenje polielektrolitnih nanodelcev za peroralno dostavo proteinskih učinkovin","Miklavžin, Ana","Kristl, Julijana","Cegnar, Mateja",farmacevtska tehnologija; tehnologija rekombinantne DNA; zdravilne učinkovine; rekombinantni proteini; terapevtski proteini; peroralna aplikacija; dostavni sistemi; nanodelci; nanodostavni sistemi; rekombinantni humani eritropoetin; disertacije,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1154,90
Vloga cistatina F in cisteinskih katepsinov pri delovanju citotoksičnih limfocitov T,"Prunk, Mateja","Kos, Janko",,biomedicina; klinična biokemija; imunski sistem; molekularna imunologija; citotoksični limfociti T; naravne celice ubijalke; citotoksičnost; perforin; grancim; cisteinski katepsini; katepsin C; katepsin H; katepsin L; cistatini; cistatin F; doktorske disertacije,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,18,205,1322,102
Proučevanje stabilnosti slabo topne makrolidne učinkovine v heterogenih farmacevtskih sistemih,"Rozman Peterka, Tanja","Urleb, Uroš",,zdravilne učinkovine; slabo topne zdravilne učinkovine; hitrost raztapljanja; biološka uporabnost; trdne disperzije; imunosupresivi; takrolimus; farmacevtske oblike; pomožne snovi; amorfne oblike; kristalne oblike; nečistote,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,8,100,1271,446
Načrtovanje zaviralcev bakterijskih avtolitičnih encimov N-acetil glukozaminidaz,"Tibaut, Tjaša","Novič, Marjana","Anderluh, Marko",protibakterijske učinkovine; načrtovanje; bakterije; celična stena; peptidoglikan; metabolizem; encimi; avtolizini; avtolizin E; N-acetilglukozaminidaza; encimi Mur; encimski inhibitorji; knjižnice spojin; virtualno rešetanje; vezavna mesta; disertacije,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1298,90
Vrednotenje uporabnosti orodij procesne analizne tehnologije pri spremljanju filmskega oblaganja pelet,"Korasa, Klemen","Vrečer, Franc",,farmacevtska tehnologija; farmacevtske oblike; filmsko obložene tablete; oblaganje; vrtinčnoslojni oblagalnik; bližnja infrardeča spektroskopija; ramanska spektroskopija; prostorsko filtriranje; multivariatna anliza,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1474,127
Umeščanje in dostop pacientov do inovativnih zdravil za zdravljenje redkih bolezni v Sloveniji,"Detiček, Andreja","Locatelli, Igor","Kos, Mitja",zdravila; vrednotenje; merila; financiranje; zdravstveni sistem; redke bolezni; originatorska zdravila,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1190,112
Vrednotenje kritičnih parametrov kakovosti pršil za nos in vitro,"Grmaš, Jernej","Dreu, Rok","Injac, Rade",farmacevtske oblike; kvaliteta; biološka ekvivalenca; suspenzije; viskoznost; aplikatorji,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1038,80
Vpliv izbranih transkripcijskih dejavnikov iz družine SOX in c-MYB na uravnavanje izražanja gena RANKL v kostnih celicah pri osteoporozi,"Kodrič, Klemen","Marc, Janja",,osteoblasti; osteoklasti; beljakovine; citokini; RANKL; gensko izražanje; uravnavanje; promotorji; transkripcijski dejavniki; patogeneza; osteoporosis; RANKL gene promoter; SOX; c-Myb; regulation of RANKL gene expression; micro-CT,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1183,154
Razvoj in vrednotenje novih postopkov za radiooznačevanje krvotvornih matičnih celic,"Sočan, Aljaž","Gmeiner, Tanja","Švajger, Urban",nuklearna medicina; matične celice; terapevtska uporaba; radiofarmaki; radionuklidi,2019,Slovenski jezik,FFA - Fakulteta za farmacijo,,,1088,110
The contribution of meta-analysis to knowledge on survey research operations on nonresponse,"Čehovin, Gregor","Lozar Manfreda, Katja","Bošnjak, Michael",metaanaliza; neodgovori; merjenje,2019,Angleški jezik,FDV - Fakulteta za družbene vede,,,679,82
"Delovna zmožnost, zaposljivost in zaposlenost starejših","Kogovšek, Mojca","Žnidaršič, Jana",,uporaba človeških zmogljivosti; starost; staranje; delovna uspešnost; zdravje; usposabljanje; motiviranje; znanje; izobraževanje; izobrazba; raziskave; analiza; human resource management; age; ageing; labour efficiency; health; training; motivation; knowledge; learning; education; research; analysis,2019,Slovenski jezik,EF - Ekonomska fakulteta,7,278,350,77
Vodenje in kakovost v izobraževalni instituciji,"Kogovšek, Metka","Ograjenšek, Irena",,visoko šolstvo; uporaba človeških zmogljivosti; vodenje; kadri; kariera; motiviranje; produktivnost; raziskovalno delo; delovna uspešnost; spol; case study; Ekonomska fakulteta; university education; human resource management; leadership; personnel; career; motivation; productivity; research work; labour efficiency; sex; case study; School of Economics and Business,2019,Slovenski jezik,EF - Ekonomska fakulteta,6,231,394,1250
Vpliv ultrahitre molekulske disociacije na Augerjev razpad vrzeli 2p na kloru,"Hrast, Mateja","Mihelič, Andrej",,Auger decay; Density functional theory; Franck-Condon factor; Inner core-hole; One-center approximation; Potential energy curve; Resonant Auger spectrum; Ultrafast molecular dissociation; Augerjev razpad; Franck-Condonov faktor; Potencialna krivulja; Približek enega centra; Resonantni Augerjev spekter; Teorija gostotnih funkcionalov (DFT); Ultrahitra molekulska disociacija; Vrzel v notranji lupini,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,598,151
Understanding the spatial and foraging ecology of Eurasian lynx (Lynx lynx) population across Europe using an integrative approach,"Almeida De Oliveira, Maria Teresa","Krofel, Miha","Recio, Mariano Rodriguez",Foraging; predation; denning; resting; artificial feeding; space use; habitat selection; GPS telemetry; GPS clusters; Eurasian lynx; Lynx lynx; Europe; prehranjevanje; plenjenje; razmnoževanje; počivališča; krmljenje; raba prostora; izbira habitata; GPS telemetrija; gruče GPS lokacij; evrazijski ris; Lynx lynx; Evropa,2024,Angleški jezik,BF - Biotehniška fakulteta,,,1459,171
Epitopi poglavitnega alergena ose Ves v 5 in asimptomatska IgE senzibilizacija za pik ose,"Debeljak, Jerneja","Košnik, Mitja","Korošec, Peter",alergen Ves v 5; B-celični epitopi; bakteriofagne predstavitvene knjižnice; sekvenciranje naslednje generacije (NGS); asimptomatska senzibilizacija; allergen Ves v 5; B-cell epitopes; phage display; next-generation sequencing (NGS); asymptomatic sensitization,2024,Slovenski jezik,MF - Medicinska fakulteta,,,689,250
Vpliv dolgotrajne alergije na hrano na prehransko stanje otrok,"Poredoš, Tomaž","Avčin, Tadej",,alergija na hrano; otroci; kravje mleko; jajca; arašidi; dietna prehrana; prehranski status; prehranski dnevnik; analiza prehranskega stanja; rast otrok; razvoj otrok; food allergy; children; cow`s milk; eggs; peanuts; elimination diet; nutritional status; nutritional diary; analysis of nutritional status; child growth; child development,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,724,162
Vpliv organiziranega presejanja na prognostične dejavnike in izid raka dojk,"Tomšič, Sonja","Zadnik, Vesna",,Presejanje za raka dojk; uvajanje; premik stadijev; čas do zdravljenja; umrljivost; preživetje; Breast cancer screening; roll-out; stage shift at diagnosis; time to treatment; mortality; survival,2024,Slovenski jezik,MF - Medicinska fakulteta,,,515,125
Samopodoba ter sposobnosti za bližino in regulacijo čutenj odraslih z izkušnjo posvojitve z vidika relacijske družinske terapije,"Vrbnjak, Nataša","Pate, Tanja",,posvojitev; samopodoba; strah pred intimo; regulacija čutenj; relacijska travma; relacijska družinska terapija; adoption; self-image; fear of intimacy; affect regulation; relational trauma; relational family therapy,2024,Slovenski jezik,TEOF - Teološka fakulteta,10,319,831,199
Contributions to Maker-Breaker Game,"Dokyeesun, Pakanun","Klavžar, Sandi","Bujtás, Csilla",Maker-Breaker game; Maker-Breaker domination game; monochromatic clique transversal game; igra izdelovalec-lomilec; dominacijska igra izdelovalec-lomilec; monokromatična klično transverzalna igra,2024,Angleški jezik,FMF - Fakulteta za matematiko in fiziko,,,750,124
Vpliv naravnega staranja na izbrane fizikalne in mehanske lastnosti konstrukcijskega lesa,"Dremelj, Matjaž","Straže, Aleš","Merela, Maks",les; naravno staranje lesa; kemijske lastnosti; zgradba lesa; fizikalne lastnosti; mehanske lastnosti; lezenje; wood; natural ageing; chemical properties; wood structure; physical properties; mechanical properties; creep,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,696,149
Dassaretia in the first Millenium BC,"Ardjanliev, Pero","Črešnar, Matija",,Dasaretija; arheologija; materialna kultura; antika; regija Velikih jezer; Dassaretia; mat poslikana keramika; naselbine; nekropole,2024,Angleški jezik,FF - Filozofska fakulteta,,,150,28
Molecular mechanisms of stress-associated cysteine proteases of green alga Chlamydomonas reinhardtii,"Van Midden, Katarina Petra","Klemenčič, Marina",,Chlamydomonas reinhardtii; stress-induced cell death; metacaspases; papain-like cysteine proteases; activity-based probes; transpeptidation; Chlamydomonas reinhardtii; s stresom povezana celična smrt; metakaspaze; papainu podobne cisteinske proteaze; sonde za detekcijo aktivnih proteaz; transpeptidacija,2024,Angleški jezik,FKKT - Fakulteta za kemijo in kemijsko tehnologijo,,,525,134
Sustainable machining of carbon fiber and Ti6Al4V stacks with assistence of liquified CO2,"Rodriguez Bogajo, Iñigo","Arazola, Pedro José","Cuesta, Mikel",sustainable machining; cryogenic machining; drilling; industrial hygiene; aeronautic structures; trajnostna obdelava; kriogeno odrezovanje; vrtanje; industrijska higiena; letalske strukture,2024,Angleški jezik,FS - Fakulteta za strojništvo,26,184,661,14
"Relation of physical quality parameters to accumulation, distribution and stability of anthocyanins and other phenolic compounds of strawberry (Fragaria ananassa) fruit","Šimková, Kristýna","Jakopič, Jerneja",,harvest time; fruit size; freezing; thawing; anthocyanins; phenolic compounds; termin obiranja; velikost plodov; zmrzovanje; odtajevanje; antociani; fenolne spojine,2024,Angleški jezik,BF - Biotehniška fakulteta,,,599,115
Identifikacija bakteriofagov iz humane črevesne mikrobiote,"Hedžet, Stina","Rupnik, Maja","Accetto, Tomaž",bakteriofagi; fagi; virom; črevesna mikrobiota; Bacteroides; Phocaeicola; profagi; bacteriophages; phages; gut microbiota; virome; Bacteroides; Phocaeicola; prophages,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,708,202
"Bionomija marmorirane smrdljivke (Halyomorpha halys [Stål], Hemiptera, Pentatomidae) v zahodni Sloveniji","Rot, Mojca","Trdan, Stanislav",,Halyomorpha halys; marmorirana smrdljivka; fenologija; temperaturni pogoji; voltinizem; tablice umrljivosti; invazivna vrsta; sezonska dinamika; feromonske pasti; krajinska pestrost; biotično varstvo; jajčni parazitoidi; Anastatus; Trissolcus; Halyomorpha halys; brown marmorated stink bug; phenology; temperature requirements; voltinism; life table; invasive species; population dynamics; pheromone trap; landscape diversity; biological control; egg parasitoids; Anastatus; Trissolcus,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,754,146
Genetska pestrost drežniške pasme domače koze Capra aegagrus hircus in ugotavljanje introgresivne hibridizacije z alpskim kozorogom C. ibex,"Pogorevc, Neža","Horvat, Simon","Simčič, Mojca",drežniška koza; genetska pestrost; struktura populacije; introgresivna hibridizacija; alpski kozorog; Capra; Drežnica goat; genetic diversity; population structure; introgressive hybridization; Alpine ibex; Capra,2024,Slovenski jezik,BF - Biotehniška fakulteta,,,518,133
Klientovo doživljanje spremembe v skupinski obravnavi spolnega nasilja v otroštvu po metodi relacijske družinske terapije,"Greif, Kristina","Repič Slavič, Tanja",,spolno nasilje; posledice spolne zlorabe v otroštvu; doživljanje žrtev spolnega nasilja; relacijska družinska terapija; sexual violence; consequences of childhood sexual abuse; experiences of victims of sexual violence; relational family therapy,2024,Slovenski jezik,TEOF - Teološka fakulteta,12,293,750,238
Vrednotenje in razvoj in silico modelov za napovedovanje vezave spojin na izbrane jedrne hormonske receptorje,"Stanojević, Mark","Sollner Dolenc, Marija","Vračko Grobelšek, Marjan",motilci endokrinega sistema; CPANN; in silico; estrogeni receptorj; androgeni receptorj; receptor tiroidnega hormona; glukokortikoidni receptor; endocrine disrupting chemicals; CPANN; in silico; androgen receptor; estrogen receptor; thyroid receptor; glucocorticoid receptor,2024,Slovenski jezik,FFA - Fakulteta za farmacijo,,,466,84
Tehtanje pravic in interesov v civilnih postopkih skozi prizmo Evropske konvencije o človekovih pravicah,"Zidar Al-Mutairi, Katarina","Galič, Aleš",,človekove pravice; Evropska konvencija o človekovih pravicah; Evropsko sodišče za človekove pravice; test sorazmernosti; kolizija človekovih pravic; polje proste presoje; svoboda izražanja; dostop do sodišča; ugled; varstvo premoženja; subsidiarnost; human rights; European Convention on Human Rights; European Court of Human Rights; proportionality analysis; conflict of human rights; margin of appreciation; freedom of expression; access to court; reputation; protection of property; subsidiarity,2024,Slovenski jezik,PF - Pravna fakulteta,,,217,63
